project_name,file_name,nr_classes,nr_functions,ncls,slc,mlc,nr_of_lines,file_length,regexpsl,line_length,method_length,has_todo,boolean_e_c,cdac,cfoc,ccn,nppathc,javancss,nbugs,nbugs_confirmation
Apache CXF,JMSTestUtil.java,1,8,137,2,18,242,0,4,19,0,0,0,0,1,2,2,4,0.16666667,0.16666667
Apache CXF,MAPTestBase.java,1,19,199,23,26,401,0,41,12,0,0,0,1,1,2,2,3,0.04761905,0.04761905
Apache CXF,MapTestImpl.java,1,7,34,0,18,73,0,0,0,0,0,0,0,0,0,0,0,0.083333336,0.083333336
Apache CXF,MessageImpl.java,1,18,74,2,18,154,0,15,1,0,0,0,0,1,1,1,3,0.23571429,0.23571429
Apache CXF,MissingType.java,1,1,5,0,18,29,0,0,1,0,0,0,0,0,0,0,0,0.2,0.2
Apache CXF,MyInterface.java,1,8,14,0,18,44,0,0,0,0,0,0,0,0,0,0,0,0.36666667,0.36666667
Apache CXF,NameService.java,1,1,7,0,18,33,0,0,1,0,0,0,0,0,0,0,0,0.8333333,0.8333333
Apache CXF,PingMeFault.java,1,1,6,0,18,36,0,0,1,0,0,0,0,0,0,0,0,0.32135075,0.32135075
Apache CXF,PolicyUtils.java,1,11,97,0,18,203,0,31,8,0,0,0,0,1,1,0,3,0.014705882,0.014705882
Apache CXF,SOAPService.java,1,3,23,0,0,58,0,6,2,0,0,0,0,0,0,0,0,0.28431374,0.28431374
Apache CXF,ServiceImpl.java,1,16,102,3,0,168,0,22,12,0,0,0,1,1,0,0,3,5.373611,5.373611
Apache CXF,SoapVersion.java,1,21,24,2,18,69,0,11,0,0,0,0,0,0,0,0,0,0.25,0.25
Apache CXF,StaxBuilder.java,1,13,177,22,116,436,0,9,11,1,0,0,0,1,1,1,4,0.037037037,0.037037037
Apache CXF,StudentTest.java,1,4,88,2,18,138,0,14,7,0,0,0,1,1,0,0,5,0.33333334,0.33333334
Apache CXF,TestBeanABO.java,1,0,2,0,18,23,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4
Apache CXF,TestService.java,1,5,22,0,18,66,0,4,2,0,0,0,0,0,0,0,0,2.7929294,2.7929294
Apache CXF,TypeCreator.java,1,11,18,0,18,73,0,8,0,0,0,0,0,1,0,0,0,0.023809524,0.023809524
Apache CXF,UriInfoImpl.java,1,21,123,0,18,216,0,8,9,0,0,0,0,1,1,0,2,1.125,1.125
Apache CXF,UserAdapter.java,1,2,9,0,18,36,0,0,0,0,0,0,0,0,0,0,0,0.125,0.125
Apache CXF,UserService.java,1,1,7,0,18,36,0,1,0,0,0,0,0,0,0,0,0,0.5,0.5
Apache CXF,WebProvider.java,1,2,5,0,18,29,0,1,0,0,0,0,0,0,0,0,0,0.16666667,0.16666667
Apache CXF,ArrayService.java,1,5,12,0,18,53,0,1,0,0,0,0,0,0,0,0,0,0.5,0.5
Apache CXF,BeanTypeInfo.java,1,41,211,8,24,436,0,4,9,0,0,0,1,1,3,3,4,1.3333334,1.3333334
Apache CXF,DispatchImpl.java,1,23,331,18,18,544,0,46,57,0,0,0,1,1,6,4,4,6.703704,6.703704
Apache CXF,DispatchTest.java,1,7,93,3,18,167,0,4,23,0,0,0,1,1,0,0,2,0.5,0.5
Apache CXF,DocumentType.java,1,3,37,2,18,81,0,2,5,0,0,0,0,1,0,0,0,0.18181819,0.18181819
Apache CXF,EndpointImpl.java,2,98,419,8,26,779,0,66,46,0,0,0,1,2,2,2,4,2.2111645,2.2111645
Apache CXF,GetCustomers.java,1,0,3,0,18,26,0,0,0,0,0,0,0,0,0,0,0,0.16666667,0.16666667
Apache CXF,HelloService.java,1,1,3,0,18,23,0,0,0,0,0,0,0,0,0,0,0,0.9678571,0.9678571
Apache CXF,IDLProcessor.java,1,4,55,0,18,101,0,4,8,0,0,0,1,1,0,0,1,0.2,0.2
Apache CXF,IRestService.java,1,2,8,0,18,35,0,0,0,0,0,0,0,0,0,0,0,1.0095239,1.0095239
Apache CXF,JAXRSInvoker.java,1,8,144,12,18,270,0,7,26,0,1,0,1,1,2,1,3,0.9535173,0.9535173
Apache CXF,JMSConstants.java,1,1,25,1,18,64,0,15,7,0,0,0,0,0,0,0,0,0.2,0.2
Apache CXF,JMSUtilsTest.java,1,5,27,5,18,76,0,9,1,0,0,0,0,0,0,0,0,0.0625,0.0625
