@relation 'final_with_weka_header-weka.filters.unsupervised.attribute.Remove-R1-2,21-weka.filters.unsupervised.attribute.Remove-R1-2,5-7,9,11-12,17'

@attribute ncls numeric
@attribute slc numeric
@attribute regexpsl numeric
@attribute method_length numeric
@attribute cdac numeric
@attribute cfoc numeric
@attribute ccn numeric
@attribute nppathc numeric
@attribute nbug1 numeric

@data
31,16,0,0,0,0,0,0,0.333333
60,1,7,0,0,0,0,0,0.2
226,7,23,0,0,1,5,5,1.166667
74,0,16,0,0,1,0,0,0.014706
129,7,44,0,1,1,1,2,1.998604
23,0,2,0,0,1,0,0,0.014706
80,4,13,0,0,1,1,1,1
28,0,5,0,0,0,0,0,0.5
136,0,21,0,0,1,3,2,0.25
86,0,16,0,0,1,1,1,0.014706
199,5,95,0,1,1,1,0,0.5
342,12,41,0,0,1,2,2,0.166667
29,0,4,0,0,1,0,0,0.034483
150,5,15,0,1,1,4,2,3.166667
33,3,7,0,0,0,1,0,0.5
36,0,4,0,0,1,0,0,0.861111
10,2,2,0,0,0,0,0,0.027778
26,0,2,0,0,1,0,0,0.833333
63,4,5,0,1,1,1,1,0.371795
142,7,25,0,0,1,1,1,1
19,0,1,0,0,0,0,0,0.055556
129,5,22,0,1,1,3,3,0.045455
147,30,12,0,1,1,0,0,0.5
61,2,13,0,0,1,1,1,0.5
84,9,3,0,0,1,1,1,2.235714
48,8,0,0,1,1,1,1,0.160256
56,3,13,0,0,1,0,0,0.111111
159,1,9,0,1,1,1,0,0.1
69,4,27,0,0,1,1,1,0.083333
197,0,57,0,1,1,0,0,0.5
45,0,5,0,1,1,0,0,0.111111
85,0,15,0,1,1,1,1,0.142857
154,12,34,0,1,1,2,2,1.418056
106,0,36,0,0,0,0,0,0.2625
41,1,10,0,0,1,0,0,0.1
266,14,14,0,0,0,4,3,1
27,1,3,0,0,0,0,0,1.227027
83,2,6,0,0,1,1,1,0.160256
3,0,0,0,0,0,0,0,0.071429
693,14,109,0,1,1,0,0,0.166667
184,3,119,0,1,1,0,0,3.333333
18,0,1,0,0,0,0,0,0.125
192,4,28,0,1,1,3,2,3.583333
61,3,7,0,0,1,2,1,0.071429
72,0,6,0,0,0,0,0,0.027778
93,0,17,0,1,1,1,0,0.19705
5,0,2,0,0,0,0,0,0.166667
336,34,136,1,1,1,3,3,1.198925
95,1,13,0,1,1,1,1,0.1
126,9,24,0,1,1,1,1,1.433333
135,2,28,0,0,1,1,1,0.173611
202,6,32,0,1,1,6,3,0.5
160,2,17,0,0,1,2,2,1.874271
86,1,10,0,0,1,0,0,0.027778
90,5,21,0,0,1,0,0,0.5
49,7,1,0,0,1,0,0,0.160256
18,1,5,0,0,0,0,0,0.111111
85,4,8,0,1,1,0,0,0.5
27,6,9,0,0,1,0,0,1
69,3,7,0,0,1,1,1,0.034483
142,3,4,0,0,1,2,3,2.532258
240,4,48,0,0,1,6,6,1.2
2,1,5,0,0,0,0,0,0.142857
144,1,3,0,1,1,2,0,0.038462
53,4,6,0,0,1,0,0,0.333333
333,4,48,0,1,1,4,4,1
45,1,3,0,0,1,0,0,1.220833
295,2,34,0,0,1,6,5,0.055556
16,0,3,0,0,0,0,0,0.160256
23,0,5,0,0,0,0,0,0.014706
996,86,220,0,1,2,23,17,2.866667
99,0,3,0,0,1,2,1,0.5
56,7,19,0,0,0,0,0,0.037037
1520,54,3,0,1,1,46,47,0.027778
91,4,37,0,0,1,0,0,0.282258
188,15,8,0,1,1,3,2,2.561111
354,26,78,0,1,2,4,2,0.5
31,2,7,0,0,0,0,0,0.0625
38,2,10,0,0,0,0,0,1
128,0,14,0,1,1,1,1,0.19705
167,1,38,0,1,1,0,0,0.034483
233,25,56,0,1,1,0,0,0.034483
70,0,7,0,1,1,0,0,0.142857
26,2,2,0,0,0,0,0,0.2
91,1,3,0,0,1,1,1,0.160256
253,2,76,0,1,1,1,1,0.098039
