Project	File Name	data	bugs
Apache Pig	MapRedUtil.java	(6,26,344,26,89)	3.5323672
Apache Pig	PODistinct.java	(1,13,93,8,20)	1.2548084
Apache Pig	PONegative.java	(1,11,49,1,17)	0.1561292
Apache Pig	POUserFunc.java	(1,33,247,22,20)	5.7595267
Apache Pig	PigCombine.java	(2,5,85,6,17)	0.03789175
Apache Pig	PigContext.java	(1,34,311,19,22)	14.466213
Apache Pig	PigMapBase.java	(2,7,48,0,17)	6.9360795
Apache Pig	PigMapOnly.java	(2,1,7,0,17)	0.5
Apache Pig	PigStorage.java	(1,21,161,2,17)	15.501603
Apache Pig	PigWarning.java	(1,0,2,12,21)	1.4297831
Apache Pig	PlanDumper.java	(1,14,73,0,17)	0.18095239
Apache Pig	PlanHelper.java	(2,10,54,0,17)	1.0
Apache Pig	PlanSetter.java	(1,38,87,0,17)	0.35357141
Apache Pig	RegexpCond.java	(1,6,36,0,17)	0.017483585
Apache Pig	RubySchema.java	(3,45,347,6,53)	0.14809814
Apache Pig	SchemaUtil.java	(1,15,75,1,17)	0.08143147
Apache Pig	StreamSpec.java	(3,14,95,11,17)	0.53333336
Apache Pig	StringSize.java	(1,2,20,0,17)	0.06926407
Apache Pig	TestCommit.java	(1,4,117,1,17)	0.37226808
Apache Pig	TestDivide.java	(1,2,213,28,19)	0.69357824
Apache Pig	TestFRJoin.java	(2,26,370,1,17)	2.7955444
Apache Pig	TestFinish.java	(2,8,79,0,17)	0.34032512
Apache Pig	TestPOCast.java	(2,41,1485,103,35)	2.7956223
Apache Pig	TestPOSort.java	(2,20,375,28,19)	0.84354067
Apache Pig	TestRecord.java	(1,10,267,22,31)	0.04761905
Apache Pig	TestRegexp.java	(1,3,46,2,17)	0.029211087
Apache Pig	TestRewire.java	(1,14,363,2,82)	0.16035354
Apache Pig	TestSample.java	(1,7,46,0,17)	0.013513514
Apache Pig	TestSchema.java	(1,6,351,62,34)	4.282472
Apache Pig	TextLoader.java	(1,26,124,2,17)	3.9662976
Apache Pig	ToUnixTime.java	(1,3,23,0,17)	0.064764805
Apache Pig	UDFContext.java	(3,21,98,0,29)	6.266667
Apache Pig	WindowSpec.java	(1,3,14,0,17)	0.017483585
Apache Pig	AddDuration.java	(1,3,26,0,17)	0.0506803
Apache Pig	AvroStorage.java	(1,26,296,4,99)	3.9166667
Apache Pig	BinCondSpec.java	(2,11,60,0,17)	0.32430178
Apache Pig	ColumnGroup.java	(17,136,1268,85,78)	2.5642858
Apache Pig	CountingMap.java	(1,3,21,0,20)	0.36495727
Apache Pig	DataStorage.java	(1,19,28,5,17)	0.45
Apache Pig	DaysBetween.java	(1,3,28,2,17)	0.064764805
Apache Pig	DoubleRound.java	(1,2,16,0,45)	0.023809524
Apache Pig	EqualToExpr.java	(1,7,79,2,20)	0.5399416
Apache Pig	GFReplicate.java	(1,3,19,0,17)	0.04129311
Apache Pig	GetWeekYear.java	(1,3,22,0,17)	0.00877193
Apache Pig	GroovyUtils.java	(2,6,133,58,17)	0.06666667
Apache Pig	GruntParser.java	(1,33,305,17,19)	14.413734
Apache Pig	HadoopShims.java	(1,12,48,0,17)	3.0573084
Apache Pig	Illustrable.java	(1,2,5,0,17)	0.06403583
